,stnName,count,Lat,Lon
48,Botanic Gardens Mrt Station,5,1.3224233120326265,103.81613131980886
49,Haw Par Villa Mrt Station,5,1.282541489975833,103.78181011801121
50,Bedok Mrt Station,5,1.3239793022215751,103.92998416118782
51,Holland Village Mrt Station,5,1.311834123735084,103.79619149054247
52,Kembangan Mrt Station,5,1.321037582184591,103.91294905496804
53,One-North Mrt Station,5,1.299759211924949,103.78745717451768
54,Kent Ridge Mrt Station,5,1.293461966477464,103.78463109348135
55,South View Mrt Station,4,1.3802976205512498,103.74529146679454
56,Pasir Panjang Mrt Station,4,1.2762128560181432,103.7913499798378
57,Teck Whye Mrt Station,4,1.376684012777711,103.75371189893323
58,Macpherson Mrt Station,4,1.3263447049944757,103.89028669800267
59,Keat Hong Mrt Station,4,1.378602099316918,103.74905518614288
60,Bukit Panjang Mrt Station,4,1.377909231315871,103.76301330050273
61,Telok Blangah Mrt Station,3,1.2707525447912367,103.80974830350968
62,Tuas Crescent Mrt Station,3,1.321025886578594,103.64907514553485
63,Bukit Brown Mrt Station,3,1.3337282156543682,103.83068921680423
64,Harbourfront Mrt Station,3,1.2654719731946849,103.8214427357582
65,Caldecott Mrt Station,3,1.3376738413772886,103.83952948742909
66,Gul Circle Mrt Station,3,1.3195045482741081,103.66055262304037
67,Labrador Park Mrt Station,3,1.272332064929177,103.80293928709655
68,Changi Airport Mrt Station,2,1.3573138786664856,103.98836432480927
69,Marymount Mrt Station,2,1.3487065963512335,103.83942279923492
70,Simei Mrt Station,1,1.3432022282651752,103.95337136066445
71,Promenade Mrt Station,1,1.2928908854249639,103.8608526549149
72,Stadium Mrt Station,1,1.3028399629661689,103.87535000182866
73,Tai Seng Mrt Station,1,1.335432655556156,103.88819452779144
74,Dakota Mrt Station,1,1.3083819726001025,103.88866227057056
75,Senja Mrt Station,1,1.3826916291578648,103.76236689266916
76,Mountbatten Mrt Station,1,1.3062012381642654,103.88252774745432
77,Esplanade Mrt Station,1,1.293320940944003,103.85550377218695
78,Bras Basah Mrt Station,1,1.296861019860377,103.85066703844014
79,Lorong Chuan Mrt Station,1,1.3516115043587469,103.86415160470331
80,Serangoon Mrt Station,1,1.3505945897765026,103.8723677561524
81,Jelapang Mrt Station,1,1.3867023583476155,103.76450300487436
82,Bartley Mrt Station,1,1.3428276710707725,103.87975857287385
83,Nicoll Highway Mrt Station,1,1.2997661686008202,103.86363668515288
